,Start Time,Period (min),NE Name,BSC6910UCell,VS.HSDPA.MeanChThroughput (kbit/s),HSDPA_Data_Volume_MB (MB),Cell Availability (%),Overall Accessibility Success Rate PS Interactive EUL (%) (%),Max HSDPA UE (None),Mean HSDPA UE (None),cluster,,,,,,
85,2/18/2021 0:00,60,DRH38,"Label=NSSDR52HC, CellID=8170, LogicRNCID=838",761.734,1434.007,100,99.396,22,14.125,0,,,,,,
86,2/18/2021 0:00,60,DRH38,"Label=NSSDR52WC, CellID=14271, LogicRNCID=838",1421.331,1460.615,100,100,20,11.446,0,,,,,,
87,2/18/2021 0:00,60,DRH38,"Label=NSSDR52WA, CellID=14269, LogicRNCID=838",1636.421,779.668,100,99.806,14,8.103,1,,,,,,
88,2/18/2021 0:00,60,DRH38,"Label=NSSDR52HA, CellID=6918, LogicRNCID=838",1123.967,835.746,100,100,14,8.238,1,,,,,,
89,2/18/2021 0:00,60,DRH38,"Label=NSSDR42HA, CellID=9260, LogicRNCID=838",2416.722,1459.337,100,99.439,22,11.704,0,,,,,,
90,2/18/2021 0:00,60,DRH38,"Label=NSSDR42WF, CellID=54297, LogicRNCID=838",1373.912,1528.809,100,99.683,27,17.585,0,,,,,,
91,2/18/2021 0:00,60,DRH38,"Label=NSSDR42HF, CellID=53597, LogicRNCID=838",1541.78,1333.621,100,99.655,24,14.654,0,,,,,,
92,2/18/2021 0:00,60,DRH38,"Label=NSSDR42WB, CellID=14213, LogicRNCID=838",2246.308,1064.463,100,99.492,16,8.31,1,,,,,,
93,2/18/2021 0:00,60,DRH38,"Label=NSRPR20HC, CellID=62065, LogicRNCID=838",1220.271,419.034,100,100,14,5.003,1,,,,,,
94,2/18/2021 0:00,60,DRH38,"Label=NSRPR20HA, CellID=62063, LogicRNCID=838",1117.92,96.959,100,100,21,2.183,1,,,,,,
95,2/18/2021 0:00,60,DRH38,"Label=NSRPR20WC, CellID=62062, LogicRNCID=838",1539.962,505.927,100,100,9,3.999,2,,,,,,
96,2/18/2021 0:00,60,DRH38,"Label=NSRPR20WA, CellID=62060, LogicRNCID=838",2065.033,224.045,100,98.969,17,2.306,1,,,,,,
97,2/18/2021 0:00,60,DRH38,"Label=NSRPR26HA, CellID=62069, LogicRNCID=838",2083.404,312.304,100,99.714,9,4.261,2,,,,,,
98,2/18/2021 0:00,60,DRH38,"Label=NSRPR26WB, CellID=62067, LogicRNCID=838",1946.036,352.609,100,100,14,6.649,1,,,,,,
99,2/18/2021 0:00,60,DRH38,"Label=NSSDR37HA, CellID=37861, LogicRNCID=838",563.486,101.1,100,100,8,4.018,2,,,,,,
100,2/18/2021 0:00,60,DRH38,"Label=NSSDR37HC, CellID=35531, LogicRNCID=838",3865.342,315.969,100,100,6,2.107,2,,,,,,
101,2/18/2021 0:00,60,DRH38,"Label=NSSDR37WB, CellID=45340, LogicRNCID=838",150.578,8.891,100,100,5,1.153,2,,,,,,
102,2/18/2021 0:00,60,DRH38,"Label=NSSDR37HB, CellID=35530, LogicRNCID=838",130.911,10.499,100,100,6,2.354,2,,,,,,
103,2/18/2021 0:00,60,DRH38,"Label=NSSDR06HB, CellID=8122, LogicRNCID=838",234.626,348.475,100,99.696,13,8.139,1,,,,,,
104,2/18/2021 0:00,60,DRH38,"Label=NSSDR06HA, CellID=8508, LogicRNCID=838",260.642,618.23,100,99.549,19,10.186,1,,,,,,
105,2/18/2021 0:00,60,DRH38,"Label=NSSDR06WB, CellID=14258, LogicRNCID=838",307.214,637.923,100,99.55,18,8.542,1,,,,,,
106,2/18/2021 0:00,60,DRH38,"Label=NSSBP03WC, CellID=14244, LogicRNCID=838",2291.806,1309.144,100,100,17,9.015,1,,,,,,
107,2/18/2021 0:00,60,DRH38,"Label=NSSBP03WA, CellID=14242, LogicRNCID=838",1629.483,135.198,100,100,9,4.697,2,,,,,,
108,2/18/2021 0:00,60,DRH38,"Label=NSSBP03HB, CellID=8503, LogicRNCID=838",2095.428,1059.076,100,98.758,18,9.958,1,,,,,,
109,2/18/2021 0:00,60,DRH38,"Label=NSSDR01WC, CellID=14250, LogicRNCID=838",2831.095,945.733,100,100,12,5.518,1,,,,,,
110,2/18/2021 0:00,60,DRH38,"Label=NSSDR01WA, CellID=14248, LogicRNCID=838",2186.352,462.531,100,100,12,3.929,1,,,,,,
111,2/18/2021 0:00,60,DRH38,"Label=NSSDR01HB, CellID=9085, LogicRNCID=838",1247.573,483.954,100,98.945,15,6.994,1,,,,,,
